Date,Close,High,Low,Volume,MFI
2020-04-15,0.9125,0.945,0.875,3414034,25.33595298160108
2020-04-16,0.9367,1.07,0.9,9846898,19.17800907191819
2020-04-17,0.8945,0.93,0.875,4567187,22.213408937345868
2020-04-20,0.8931,0.9490000000000001,0.88,4315663,27.634293492404126
2020-04-21,0.88,0.9198,0.8555,4381516,28.48809790751102
2020-04-22,0.8690000000000001,0.8898,0.86,3141862,29.201580045147168
2020-04-23,0.9106,1.05,0.8556,14159404,33.636623314125394
2020-04-24,0.8877,0.924,0.87,4510771,30.74229402827265
2020-04-27,0.9143,0.92,0.88,4029475,36.49681580018042
2020-04-28,1.1175,1.52,1.09,87862700,30.870922172727422
2020-04-29,1.095,1.2,1.05,15498389,13.595023689736651
2020-04-30,1.115,1.15,1.03,9094872,10.973591675701606
2020-05-01,1.0501,1.11,1.04,5259170,11.169895431938517
2020-05-04,1.07,1.08,1.0,5153034,8.98300794276758
2020-05-05,1.035,1.07,1.03,4051063,9.012517434912661
2020-05-06,1.06,1.08,1.05,4336787,9.531931526029073
2020-05-07,1.01,1.08,0.98,5488867,9.77674533961032
2020-05-08,1.01,1.01,0.96,4081137,7.5758940059976965
2020-05-11,1.115,1.15,0.98,13326778,9.664829115645464
2020-05-12,1.075,1.19,1.07,7517324,16.228539199567376
2020-05-13,1.07,1.1,1.01,4925718,14.486324595597475
2020-05-14,1.1844,1.29,1.11,22267403,17.655432140374973
2020-05-15,1.47,1.48,1.16,23456759,25.94532662591323
2020-05-18,1.74,1.97,1.56,50601340,34.29411590608169
2020-05-19,1.5,1.66,1.45,17231117,37.28630806220241
2020-05-20,1.39,1.53,1.27,15233059,35.86697063786035
2020-05-21,1.4599,1.52,1.32,9201485,42.67855478078945
2020-05-22,1.51,1.54,1.38,6527933,46.49980846350567
2020-05-26,1.6001,1.75,1.57,14243928,49.39838482695842
2020-05-27,1.62,1.65,1.46,8468226,44.578256226331284
2020-05-28,1.57,1.64,1.53,3846548,47.80988362896408
2020-05-29,1.59,1.6,1.52,4078110,47.73473762512111
2020-06-01,1.65,1.73,1.55,6702218,48.15029760553199
2020-06-02,1.63,1.67,1.58,4708023,43.77440601299823
2020-06-03,1.57,1.62,1.55,6194282,43.87935309432108
2020-06-04,1.67,1.83,1.6,16898785,44.74539331298811
2020-06-05,1.54,1.58,1.52,7898911,35.49835776929734
2020-06-08,1.4053719999999998,1.48,1.38,9169022,26.484412286945723
2020-06-09,1.4699,1.5,1.45,4808984,42.86584771715456
2020-06-10,1.54,1.6,1.5,6813978,51.28838925557043
2020-06-11,1.39,1.53,1.39,6561620,42.12495425256571
2020-06-12,1.42,1.45,1.42,1063080,35.231139252361324
2020-06-15,1.5565,1.65,1.45,11199414,31.948557877045253
2020-06-16,1.54,1.6,1.52,3288675,44.458033637210505
2020-06-17,1.55,1.57,1.48,3549337,37.82248360128235
2020-06-18,1.51,1.57,1.49,4448912,37.987782487658436
2020-06-19,1.5,1.53,1.45,3733020,33.49644469636483
2020-06-22,1.45,1.48,1.43,3538579,34.79522991709631
2020-06-23,1.47,1.51,1.4,8197982,39.1634859004064
2020-06-24,1.57,1.88,1.55,29963570,40.11204262190951
2020-06-25,1.63,1.64,1.55,10610228,34.832676044065494
2020-06-26,2.13,2.69,2.07,125845133,44.08895216622599
2020-06-29,2.45,2.7,2.28,50775897,79.00182171524138
2020-06-30,2.205,2.28,2.15,15755956,61.01616826606347
2020-07-01,2.056,2.12,1.85,16894509,58.4806343863067
2020-07-02,1.96,2.06,1.9,8241048,56.12894084614336
2020-07-06,1.9838,2.05,1.91,8127217,57.16505830689058
2020-07-07,2.245,2.28,1.97,16214717,57.076959735179834
2020-07-08,2.295,2.45,2.15,14692769,59.831310405070006
2020-07-09,2.255,2.29,2.17,6263661,57.34350757460629
2020-07-10,2.2054,2.25,2.11,6470313,56.74025053989232
2020-07-13,2.22,2.35,2.13,10762454,58.072765797160706
